indicator_code,filename,mode,sample_index,rows,cols,window_cells,elapsed_ns
xsqs,xsqs.tif,data_plus_mask,0,1024,1024,1048576,12763637
xsqs,xsqs.tif,masked_read_new_handle,1,1024,1024,1048576,14951937
xsqs,xsqs.tif,masked_reread_same_handle,1,1024,1024,1048576,3728191
xsqs,xsqs.tif,data_read,1,1024,1024,1048576,16588903
xsqs,xsqs.tif,mask_read,1,1024,1024,1048576,12836756
xsqs,xsqs.tif,data_plus_mask,1,1024,1024,1048576,13281870
xsqs,xsqs.tif,open_only,1,1024,1024,1048576,2592742
xsqs,xsqs.tif,masked_reread_same_handle,2,1024,1024,1048576,4070621
xsqs,xsqs.tif,data_read,2,1024,1024,1048576,11813835
xsqs,xsqs.tif,mask_read,2,1024,1024,1048576,12360475
xsqs,xsqs.tif,data_plus_mask,2,1024,1024,1048576,16896267
xsqs,xsqs.tif,open_only,2,1024,1024,1048576,2978208
xsqs,xsqs.tif,masked_read_new_handle,2,1024,1024,1048576,17200101
xsqs,xsqs.tif,data_read,3,1024,1024,1048576,26560185
xsqs,xsqs.tif,mask_read,3,1024,1024,1048576,11281827
xsqs,xsqs.tif,data_plus_mask,3,1024,1024,1048576,15739639
xsqs,xsqs.tif,open_only,3,1024,1024,1048576,2684582
xsqs,xsqs.tif,masked_read_new_handle,3,1024,1024,1048576,25454853
xsqs,xsqs.tif,masked_reread_same_handle,3,1024,1024,1048576,3696990
xsqs,xsqs.tif,mask_read,4,1024,1024,1048576,15630606
xsqs,xsqs.tif,data_plus_mask,4,1024,1024,1048576,13243368
xsqs,xsqs.tif,open_only,4,1024,1024,1048576,2631577
xsqs,xsqs.tif,masked_read_new_handle,4,1024,1024,1048576,16239281
xsqs,xsqs.tif,masked_reread_same_handle,4,1024,1024,1048576,3896857
xsqs,xsqs.tif,data_read,4,1024,1024,1048576,52851436
gyfb,gyfb.tif,open_only,0,1024,1024,1048576,27073823
gyfb,gyfb.tif,masked_read_new_handle,0,1024,1024,1048576,274899353
gyfb,gyfb.tif,masked_reread_same_handle,0,1024,1024,1048576,2729223
gyfb,gyfb.tif,data_read,0,1024,1024,1048576,111410202
gyfb,gyfb.tif,mask_read,0,1024,1024,1048576,78589878
gyfb,gyfb.tif,data_plus_mask,0,1024,1024,1048576,45596888
gyfb,gyfb.tif,masked_read_new_handle,1,1024,1024,1048576,32076858
gyfb,gyfb.tif,masked_reread_same_handle,1,1024,1024,1048576,3371910
gyfb,gyfb.tif,data_read,1,1024,1024,1048576,26731669
gyfb,gyfb.tif,mask_read,1,1024,1024,1048576,32317600
gyfb,gyfb.tif,data_plus_mask,1,1024,1024,1048576,33547588
gyfb,gyfb.tif,open_only,1,1024,1024,1048576,2711837
gyfb,gyfb.tif,masked_reread_same_handle,2,1024,1024,1048576,3636118
gyfb,gyfb.tif,data_read,2,1024,1024,1048576,29812441
gyfb,gyfb.tif,mask_read,2,1024,1024,1048576,43997173
gyfb,gyfb.tif,data_plus_mask,2,1024,1024,1048576,31787631
gyfb,gyfb.tif,open_only,2,1024,1024,1048576,2688244
gyfb,gyfb.tif,masked_read_new_handle,2,1024,1024,1048576,39282482
gyfb,gyfb.tif,data_read,3,1024,1024,1048576,34625133
gyfb,gyfb.tif,mask_read,3,1024,1024,1048576,28722149
gyfb,gyfb.tif,data_plus_mask,3,1024,1024,1048576,42433610
gyfb,gyfb.tif,open_only,3,1024,1024,1048576,2804862
gyfb,gyfb.tif,masked_read_new_handle,3,1024,1024,1048576,31151992
gyfb,gyfb.tif,masked_reread_same_handle,3,1024,1024,1048576,3531793
gyfb,gyfb.tif,mask_read,4,1024,1024,1048576,51944501
gyfb,gyfb.tif,data_plus_mask,4,1024,1024,1048576,33790496
gyfb,gyfb.tif,open_only,4,1024,1024,1048576,2860465
gyfb,gyfb.tif,masked_read_new_handle,4,1024,1024,1048576,51981353
gyfb,gyfb.tif,masked_reread_same_handle,4,1024,1024,1048576,3297423
gyfb,gyfb.tif,data_read,4,1024,1024,1048576,41491535
fmyl,fmyl.tif,open_only,0,1024,1024,1048576,2962968
fmyl,fmyl.tif,masked_read_new_handle,0,1024,1024,1048576,15067507
fmyl,fmyl.tif,masked_reread_same_handle,0,1024,1024,1048576,3583350
fmyl,fmyl.tif,data_read,0,1024,1024,1048576,12023359
fmyl,fmyl.tif,mask_read,0,1024,1024,1048576,12252237
fmyl,fmyl.tif,data_plus_mask,0,1024,1024,1048576,70808490
fmyl,fmyl.tif,masked_read_new_handle,1,1024,1024,1048576,38738619
fmyl,fmyl.tif,masked_reread_same_handle,1,1024,1024,1048576,4988783
fmyl,fmyl.tif,data_read,1,1024,1024,1048576,21777907
fmyl,fmyl.tif,mask_read,1,1024,1024,1048576,25324325
fmyl,fmyl.tif,data_plus_mask,1,1024,1024,1048576,16411058
fmyl,fmyl.tif,open_only,1,1024,1024,1048576,3014397
fmyl,fmyl.tif,masked_reread_same_handle,2,1024,1024,1048576,5178525
fmyl,fmyl.tif,data_read,2,1024,1024,1048576,22453637
fmyl,fmyl.tif,mask_read,2,1024,1024,1048576,27620980
fmyl,fmyl.tif,data_plus_mask,2,1024,1024,1048576,20318251
fmyl,fmyl.tif,open_only,2,1024,1024,1048576,5304964
fmyl,fmyl.tif,masked_read_new_handle,2,1024,1024,1048576,28434407
fmyl,fmyl.tif,data_read,3,1024,1024,1048576,32680194
fmyl,fmyl.tif,mask_read,3,1024,1024,1048576,13008505
fmyl,fmyl.tif,data_plus_mask,3,1024,1024,1048576,12758725
fmyl,fmyl.tif,open_only,3,1024,1024,1048576,3572472
fmyl,fmyl.tif,masked_read_new_handle,3,1024,1024,1048576,66815514
fmyl,fmyl.tif,masked_reread_same_handle,3,1024,1024,1048576,3518632
fmyl,fmyl.tif,mask_read,4,1024,1024,1048576,59361311
fmyl,fmyl.tif,data_plus_mask,4,1024,1024,1048576,56299423
fmyl,fmyl.tif,open_only,4,1024,1024,1048576,6654339
fmyl,fmyl.tif,masked_read_new_handle,4,1024,1024,1048576,31561423
fmyl,fmyl.tif,masked_reread_same_handle,4,1024,1024,1048576,5547567
fmyl,fmyl.tif,data_read,4,1024,1024,1048576,19415415
fmts,fmts.tif,open_only,0,1024,1024,1048576,3147868
fmts,fmts.tif,masked_read_new_handle,0,1024,1024,1048576,14703431
fmts,fmts.tif,masked_reread_same_handle,0,1024,1024,1048576,3178691
fmts,fmts.tif,data_read,0,1024,1024,1048576,14192365
fmts,fmts.tif,mask_read,0,1024,1024,1048576,12782073
fmts,fmts.tif,data_plus_mask,0,1024,1024,1048576,17702075
fmts,fmts.tif,masked_read_new_handle,1,1024,1024,1048576,26482183
fmts,fmts.tif,masked_reread_same_handle,1,1024,1024,1048576,3404330
fmts,fmts.tif,data_read,1,1024,1024,1048576,12377701
fmts,fmts.tif,mask_read,1,1024,1024,1048576,12568775
fmts,fmts.tif,data_plus_mask,1,1024,1024,1048576,13682947
fmts,fmts.tif,open_only,1,1024,1024,1048576,2758387
fmts,fmts.tif,masked_reread_same_handle,2,1024,1024,1048576,3597910
fmts,fmts.tif,data_read,2,1024,1024,1048576,14277394
fmts,fmts.tif,mask_read,2,1024,1024,1048576,11232262
fmts,fmts.tif,data_plus_mask,2,1024,1024,1048576,11636761
fmts,fmts.tif,open_only,2,1024,1024,1048576,2615799
fmts,fmts.tif,masked_read_new_handle,2,1024,1024,1048576,13566882
fmts,fmts.tif,data_read,3,1024,1024,1048576,14639595
fmts,fmts.tif,mask_read,3,1024,1024,1048576,24460134
fmts,fmts.tif,data_plus_mask,3,1024,1024,1048576,22909538
fmts,fmts.tif,open_only,3,1024,1024,1048576,4473273
fmts,fmts.tif,masked_read_new_handle,3,1024,1024,1048576,17755985
fmts,fmts.tif,masked_reread_same_handle,3,1024,1024,1048576,4719828
fmts,fmts.tif,mask_read,4,1024,1024,1048576,58504539
fmts,fmts.tif,data_plus_mask,4,1024,1024,1048576,43879013
fmts,fmts.tif,open_only,4,1024,1024,1048576,13160940
fmts,fmts.tif,masked_read_new_handle,4,1024,1024,1048576,50335528
fmts,fmts.tif,masked_reread_same_handle,4,1024,1024,1048576,9078900
fmts,fmts.tif,data_read,4,1024,1024,1048576,31069700
