relationship,column_shift,mode,sample_index,order_index,sequence_elapsed_ns,indicator_code,filename,rows,cols,window_cells,valid_cells,elapsed_ns
same_window,0,reopen_between_requests,4,0,920153070,rkmd,rkmd.tif,1024,1024,1048576,727265,142114217
same_window,0,reopen_between_requests,4,0,920153070,xxmd,xxmd.tif,1024,1024,1048576,741486,139409939
same_window,0,reopen_between_requests,4,0,920153070,jmdmd,jmdmd.tif,1024,1024,1048576,741486,54249433
same_window,0,reopen_between_requests,4,0,920153070,xspb,xspb.tif,1024,1024,1048576,741923,29371909
same_window,0,reopen_between_requests,4,0,920153070,xsqs,xsqs.tif,1024,1024,1048576,741923,41356949
same_window,0,reopen_between_requests,4,0,920153070,gyfb,gyfb.tif,1024,1024,1048576,741859,78298072
same_window,0,reopen_between_requests,4,0,920153070,fmyl,fmyl.tif,1024,1024,1048576,741923,39095238
same_window,0,reopen_between_requests,4,0,920153070,fmts,fmts.tif,1024,1024,1048576,741923,17368538
same_window,0,reuse_same_process_handles,4,1,27868499,PM25,PM25.tif,1024,1024,1048576,744513,2067974
same_window,0,reuse_same_process_handles,4,1,27868499,AQI,AQI.tif,1024,1024,1048576,745246,2170934
same_window,0,reuse_same_process_handles,4,1,27868499,NDVI,NDVI.tif,1024,1024,1048576,736505,2539067
same_window,0,reuse_same_process_handles,4,1,27868499,hwmd,hwmd.tif,1024,1024,1048576,741486,2275704
same_window,0,reuse_same_process_handles,4,1,27868499,rkmd,rkmd.tif,1024,1024,1048576,727265,2411784
same_window,0,reuse_same_process_handles,4,1,27868499,xxmd,xxmd.tif,1024,1024,1048576,741486,2430884
same_window,0,reuse_same_process_handles,4,1,27868499,jmdmd,jmdmd.tif,1024,1024,1048576,741486,2033586
same_window,0,reuse_same_process_handles,4,1,27868499,xspb,xspb.tif,1024,1024,1048576,741923,2007997
same_window,0,reuse_same_process_handles,4,1,27868499,xsqs,xsqs.tif,1024,1024,1048576,741923,2160797
same_window,0,reuse_same_process_handles,4,1,27868499,gyfb,gyfb.tif,1024,1024,1048576,741859,1969397
same_window,0,reuse_same_process_handles,4,1,27868499,fmyl,fmyl.tif,1024,1024,1048576,741923,2432247
same_window,0,reuse_same_process_handles,4,1,27868499,fmts,fmts.tif,1024,1024,1048576,741923,3342319
half_overlap,512,reuse_same_process_handles,0,0,102412678,PM25,PM25.tif,1024,1024,1048576,220225,7114982
half_overlap,512,reuse_same_process_handles,0,0,102412678,AQI,AQI.tif,1024,1024,1048576,220958,7155281
half_overlap,512,reuse_same_process_handles,0,0,102412678,NDVI,NDVI.tif,1024,1024,1048576,212217,20721566
half_overlap,512,reuse_same_process_handles,0,0,102412678,hwmd,hwmd.tif,1024,1024,1048576,217198,7002478
half_overlap,512,reuse_same_process_handles,0,0,102412678,rkmd,rkmd.tif,1024,1024,1048576,208129,7133115
half_overlap,512,reuse_same_process_handles,0,0,102412678,xxmd,xxmd.tif,1024,1024,1048576,217198,6641968
half_overlap,512,reuse_same_process_handles,0,0,102412678,jmdmd,jmdmd.tif,1024,1024,1048576,217198,6485705
half_overlap,512,reuse_same_process_handles,0,0,102412678,xspb,xspb.tif,1024,1024,1048576,217635,6537011
half_overlap,512,reuse_same_process_handles,0,0,102412678,xsqs,xsqs.tif,1024,1024,1048576,217635,6440272
half_overlap,512,reuse_same_process_handles,0,0,102412678,gyfb,gyfb.tif,1024,1024,1048576,217571,13754551
half_overlap,512,reuse_same_process_handles,0,0,102412678,fmyl,fmyl.tif,1024,1024,1048576,217635,6573723
half_overlap,512,reuse_same_process_handles,0,0,102412678,fmts,fmts.tif,1024,1024,1048576,217635,6820815
half_overlap,512,reopen_between_requests,0,1,691540117,PM25,PM25.tif,1024,1024,1048576,220225,89480334
half_overlap,512,reopen_between_requests,0,1,691540117,AQI,AQI.tif,1024,1024,1048576,220958,82959711
half_overlap,512,reopen_between_requests,0,1,691540117,NDVI,NDVI.tif,1024,1024,1048576,212217,63878337
half_overlap,512,reopen_between_requests,0,1,691540117,hwmd,hwmd.tif,1024,1024,1048576,217198,58092753
half_overlap,512,reopen_between_requests,0,1,691540117,rkmd,rkmd.tif,1024,1024,1048576,208129,63695781
half_overlap,512,reopen_between_requests,0,1,691540117,xxmd,xxmd.tif,1024,1024,1048576,217198,21970997
half_overlap,512,reopen_between_requests,0,1,691540117,jmdmd,jmdmd.tif,1024,1024,1048576,217198,17537335
half_overlap,512,reopen_between_requests,0,1,691540117,xspb,xspb.tif,1024,1024,1048576,217635,42109836
half_overlap,512,reopen_between_requests,0,1,691540117,xsqs,xsqs.tif,1024,1024,1048576,217635,49513826
half_overlap,512,reopen_between_requests,0,1,691540117,gyfb,gyfb.tif,1024,1024,1048576,217571,165783467
half_overlap,512,reopen_between_requests,0,1,691540117,fmyl,fmyl.tif,1024,1024,1048576,217635,24866841
half_overlap,512,reopen_between_requests,0,1,691540117,fmts,fmts.tif,1024,1024,1048576,217635,11605744
half_overlap,512,reopen_between_requests,1,0,811215099,PM25,PM25.tif,1024,1024,1048576,220225,71231026
half_overlap,512,reopen_between_requests,1,0,811215099,AQI,AQI.tif,1024,1024,1048576,220958,71088364
half_overlap,512,reopen_between_requests,1,0,811215099,NDVI,NDVI.tif,1024,1024,1048576,212217,135190478
half_overlap,512,reopen_between_requests,1,0,811215099,hwmd,hwmd.tif,1024,1024,1048576,217198,52655765
half_overlap,512,reopen_between_requests,1,0,811215099,rkmd,rkmd.tif,1024,1024,1048576,208129,77703109
half_overlap,512,reopen_between_requests,1,0,811215099,xxmd,xxmd.tif,1024,1024,1048576,217198,48104846
half_overlap,512,reopen_between_requests,1,0,811215099,jmdmd,jmdmd.tif,1024,1024,1048576,217198,31766233
half_overlap,512,reopen_between_requests,1,0,811215099,xspb,xspb.tif,1024,1024,1048576,217635,24271388
half_overlap,512,reopen_between_requests,1,0,811215099,xsqs,xsqs.tif,1024,1024,1048576,217635,22317566
half_overlap,512,reopen_between_requests,1,0,811215099,gyfb,gyfb.tif,1024,1024,1048576,217571,152745277
half_overlap,512,reopen_between_requests,1,0,811215099,fmyl,fmyl.tif,1024,1024,1048576,217635,61705354
half_overlap,512,reopen_between_requests,1,0,811215099,fmts,fmts.tif,1024,1024,1048576,217635,62389996
half_overlap,512,reuse_same_process_handles,1,1,382861902,PM25,PM25.tif,1024,1024,1048576,220225,19547399
half_overlap,512,reuse_same_process_handles,1,1,382861902,AQI,AQI.tif,1024,1024,1048576,220958,10603599
half_overlap,512,reuse_same_process_handles,1,1,382861902,NDVI,NDVI.tif,1024,1024,1048576,212217,93643553
half_overlap,512,reuse_same_process_handles,1,1,382861902,hwmd,hwmd.tif,1024,1024,1048576,217198,17656239
half_overlap,512,reuse_same_process_handles,1,1,382861902,rkmd,rkmd.tif,1024,1024,1048576,208129,26870305
half_overlap,512,reuse_same_process_handles,1,1,382861902,xxmd,xxmd.tif,1024,1024,1048576,217198,21917863
half_overlap,512,reuse_same_process_handles,1,1,382861902,jmdmd,jmdmd.tif,1024,1024,1048576,217198,22214368
half_overlap,512,reuse_same_process_handles,1,1,382861902,xspb,xspb.tif,1024,1024,1048576,217635,21834972
half_overlap,512,reuse_same_process_handles,1,1,382861902,xsqs,xsqs.tif,1024,1024,1048576,217635,20064402
half_overlap,512,reuse_same_process_handles,1,1,382861902,gyfb,gyfb.tif,1024,1024,1048576,217571,76406408
half_overlap,512,reuse_same_process_handles,1,1,382861902,fmyl,fmyl.tif,1024,1024,1048576,217635,26365318
half_overlap,512,reuse_same_process_handles,1,1,382861902,fmts,fmts.tif,1024,1024,1048576,217635,25674466
half_overlap,512,reuse_same_process_handles,2,0,104679046,PM25,PM25.tif,1024,1024,1048576,220225,7487868
half_overlap,512,reuse_same_process_handles,2,0,104679046,AQI,AQI.tif,1024,1024,1048576,220958,8480138
half_overlap,512,reuse_same_process_handles,2,0,104679046,NDVI,NDVI.tif,1024,1024,1048576,212217,19832152
half_overlap,512,reuse_same_process_handles,2,0,104679046,hwmd,hwmd.tif,1024,1024,1048576,217198,6468161
half_overlap,512,reuse_same_process_handles,2,0,104679046,rkmd,rkmd.tif,1024,1024,1048576,208129,7449747
half_overlap,512,reuse_same_process_handles,2,0,104679046,xxmd,xxmd.tif,1024,1024,1048576,217198,6692658
half_overlap,512,reuse_same_process_handles,2,0,104679046,jmdmd,jmdmd.tif,1024,1024,1048576,217198,6400488
half_overlap,512,reuse_same_process_handles,2,0,104679046,xspb,xspb.tif,1024,1024,1048576,217635,6438341
half_overlap,512,reuse_same_process_handles,2,0,104679046,xsqs,xsqs.tif,1024,1024,1048576,217635,6603531
half_overlap,512,reuse_same_process_handles,2,0,104679046,gyfb,gyfb.tif,1024,1024,1048576,217571,14010170
half_overlap,512,reuse_same_process_handles,2,0,104679046,fmyl,fmyl.tif,1024,1024,1048576,217635,6406386
half_overlap,512,reuse_same_process_handles,2,0,104679046,fmts,fmts.tif,1024,1024,1048576,217635,8376737
half_overlap,512,reopen_between_requests,2,1,594970087,PM25,PM25.tif,1024,1024,1048576,220225,82506026
half_overlap,512,reopen_between_requests,2,1,594970087,AQI,AQI.tif,1024,1024,1048576,220958,59172543
half_overlap,512,reopen_between_requests,2,1,594970087,NDVI,NDVI.tif,1024,1024,1048576,212217,157977875
half_overlap,512,reopen_between_requests,2,1,594970087,hwmd,hwmd.tif,1024,1024,1048576,217198,39470018
half_overlap,512,reopen_between_requests,2,1,594970087,rkmd,rkmd.tif,1024,1024,1048576,208129,68367611
half_overlap,512,reopen_between_requests,2,1,594970087,xxmd,xxmd.tif,1024,1024,1048576,217198,50165496
half_overlap,512,reopen_between_requests,2,1,594970087,jmdmd,jmdmd.tif,1024,1024,1048576,217198,45044320
half_overlap,512,reopen_between_requests,2,1,594970087,xspb,xspb.tif,1024,1024,1048576,217635,14721372
half_overlap,512,reopen_between_requests,2,1,594970087,xsqs,xsqs.tif,1024,1024,1048576,217635,14829490
half_overlap,512,reopen_between_requests,2,1,594970087,gyfb,gyfb.tif,1024,1024,1048576,217571,37521418
half_overlap,512,reopen_between_requests,2,1,594970087,fmyl,fmyl.tif,1024,1024,1048576,217635,12731874
half_overlap,512,reopen_between_requests,2,1,594970087,fmts,fmts.tif,1024,1024,1048576,217635,12419031
half_overlap,512,reopen_between_requests,3,0,698907837,PM25,PM25.tif,1024,1024,1048576,220225,82540627
half_overlap,512,reopen_between_requests,3,0,698907837,AQI,AQI.tif,1024,1024,1048576,220958,111098377
half_overlap,512,reopen_between_requests,3,0,698907837,NDVI,NDVI.tif,1024,1024,1048576,212217,70980478
half_overlap,512,reopen_between_requests,3,0,698907837,hwmd,hwmd.tif,1024,1024,1048576,217198,14268803
half_overlap,512,reopen_between_requests,3,0,698907837,rkmd,rkmd.tif,1024,1024,1048576,208129,21369619
half_overlap,512,reopen_between_requests,3,0,698907837,xxmd,xxmd.tif,1024,1024,1048576,217198,18010397
half_overlap,512,reopen_between_requests,3,0,698907837,jmdmd,jmdmd.tif,1024,1024,1048576,217198,15972644
half_overlap,512,reopen_between_requests,3,0,698907837,xspb,xspb.tif,1024,1024,1048576,217635,37673107
half_overlap,512,reopen_between_requests,3,0,698907837,xsqs,xsqs.tif,1024,1024,1048576,217635,27636540
half_overlap,512,reopen_between_requests,3,0,698907837,gyfb,gyfb.tif,1024,1024,1048576,217571,197475274
half_overlap,512,reopen_between_requests,3,0,698907837,fmyl,fmyl.tif,1024,1024,1048576,217635,51055938
half_overlap,512,reopen_between_requests,3,0,698907837,fmts,fmts.tif,1024,1024,1048576,217635,50782618
half_overlap,512,reuse_same_process_handles,3,1,276700637,PM25,PM25.tif,1024,1024,1048576,220225,6838748
half_overlap,512,reuse_same_process_handles,3,1,276700637,AQI,AQI.tif,1024,1024,1048576,220958,7110609
half_overlap,512,reuse_same_process_handles,3,1,276700637,NDVI,NDVI.tif,1024,1024,1048576,212217,17604602
half_overlap,512,reuse_same_process_handles,3,1,276700637,hwmd,hwmd.tif,1024,1024,1048576,217198,6508896
half_overlap,512,reuse_same_process_handles,3,1,276700637,rkmd,rkmd.tif,1024,1024,1048576,208129,7170184
half_overlap,512,reuse_same_process_handles,3,1,276700637,xxmd,xxmd.tif,1024,1024,1048576,217198,13642896
half_overlap,512,reuse_same_process_handles,3,1,276700637,jmdmd,jmdmd.tif,1024,1024,1048576,217198,25057593
half_overlap,512,reuse_same_process_handles,3,1,276700637,xspb,xspb.tif,1024,1024,1048576,217635,34141778
half_overlap,512,reuse_same_process_handles,3,1,276700637,xsqs,xsqs.tif,1024,1024,1048576,217635,21630013
half_overlap,512,reuse_same_process_handles,3,1,276700637,gyfb,gyfb.tif,1024,1024,1048576,217571,88087593
half_overlap,512,reuse_same_process_handles,3,1,276700637,fmyl,fmyl.tif,1024,1024,1048576,217635,29014294
half_overlap,512,reuse_same_process_handles,3,1,276700637,fmts,fmts.tif,1024,1024,1048576,217635,19854037
half_overlap,512,reuse_same_process_handles,4,0,191584190,PM25,PM25.tif,1024,1024,1048576,220225,13041951
half_overlap,512,reuse_same_process_handles,4,0,191584190,AQI,AQI.tif,1024,1024,1048576,220958,13235307
half_overlap,512,reuse_same_process_handles,4,0,191584190,NDVI,NDVI.tif,1024,1024,1048576,212217,40572604
half_overlap,512,reuse_same_process_handles,4,0,191584190,hwmd,hwmd.tif,1024,1024,1048576,217198,7628803
half_overlap,512,reuse_same_process_handles,4,0,191584190,rkmd,rkmd.tif,1024,1024,1048576,208129,8227544
half_overlap,512,reuse_same_process_handles,4,0,191584190,xxmd,xxmd.tif,1024,1024,1048576,217198,8419833
half_overlap,512,reuse_same_process_handles,4,0,191584190,jmdmd,jmdmd.tif,1024,1024,1048576,217198,8047805
half_overlap,512,reuse_same_process_handles,4,0,191584190,xspb,xspb.tif,1024,1024,1048576,217635,11297249
half_overlap,512,reuse_same_process_handles,4,0,191584190,xsqs,xsqs.tif,1024,1024,1048576,217635,14056414
half_overlap,512,reuse_same_process_handles,4,0,191584190,gyfb,gyfb.tif,1024,1024,1048576,217571,50244586
half_overlap,512,reuse_same_process_handles,4,0,191584190,fmyl,fmyl.tif,1024,1024,1048576,217635,8182551
